,Date,Value
290,2019-03-18,1
291,2019-03-19,1
292,2019-03-20,1
293,2019-03-21,1
294,2019-03-22,1
295,2019-03-25,1
296,2019-03-26,1
297,2019-03-27,1
298,2019-03-28,1
299,2019-03-29,1
300,2019-04-01,1
301,2019-04-02,1
302,2019-04-03,1
303,2019-04-08,1
304,2019-04-09,1
305,2019-04-10,1
306,2019-04-11,1
307,2019-04-12,1
308,2019-04-15,1
309,2019-04-16,1
310,2019-04-17,1
311,2019-04-18,1
312,2019-04-19,1
313,2019-04-22,1
314,2019-04-23,1
315,2019-04-24,1
316,2019-04-25,1
317,2019-04-26,1
318,2019-04-29,1
319,2019-04-30,1
320,2019-05-02,1
321,2019-05-03,1
322,2019-05-06,1
323,2019-05-07,1
324,2019-05-08,1
325,2019-05-09,1
326,2019-05-10,1
327,2019-05-13,1
328,2019-05-14,1
329,2019-05-15,1
330,2019-05-16,1
331,2019-05-17,1
332,2019-05-20,1
333,2019-05-21,1
334,2019-05-22,1
335,2019-05-23,1
336,2019-05-24,1
337,2019-05-27,1
338,2019-05-28,1
339,2019-05-29,1
340,2019-05-30,1
341,2019-05-31,1
342,2019-06-03,1
343,2019-06-04,1
344,2019-06-05,1
345,2019-06-06,1
346,2019-06-10,1
347,2019-06-11,1
348,2019-06-12,1
349,2019-06-13,1
350,2019-06-14,1
351,2019-06-17,1
352,2019-06-18,1
353,2019-06-19,1
354,2019-06-20,1
355,2019-06-21,1
356,2019-06-24,1
357,2019-06-25,1
358,2019-06-26,1
359,2019-06-27,1
360,2019-06-28,1
361,2019-07-01,1
362,2019-07-02,1
363,2019-07-03,1
364,2019-07-04,1
365,2019-07-05,1
366,2019-07-08,1
367,2019-07-09,1
368,2019-07-10,1
369,2019-07-11,1
370,2019-07-12,1
371,2019-07-15,1
372,2019-07-16,1
373,2019-07-17,1
374,2019-07-18,1
375,2019-07-19,1
376,2019-07-22,1
377,2019-07-23,1
378,2019-07-24,1
379,2019-07-25,1
380,2019-07-26,1
381,2019-07-29,1
382,2019-07-30,1
383,2019-07-31,1
384,2019-08-01,1
385,2019-08-02,1
386,2019-08-05,1
387,2019-08-06,1
388,2019-08-07,1
389,2019-08-08,1
390,2019-08-12,1
391,2019-08-13,1
392,2019-08-14,1
393,2019-08-15,1
394,2019-08-16,1
395,2019-08-19,1
396,2019-08-20,1
397,2019-08-21,1
398,2019-08-22,1
399,2019-08-23,1
400,2019-08-26,1
401,2019-08-27,1
402,2019-08-28,1
403,2019-08-29,1
404,2019-08-30,1
405,2019-09-02,1
406,2019-09-03,1
407,2019-09-04,1
408,2019-09-05,1
409,2019-09-06,1
410,2019-09-10,1
411,2019-09-11,1
412,2019-09-12,1
413,2019-09-16,1
414,2019-09-17,1
415,2019-09-18,1
416,2019-09-19,1
417,2019-09-20,1
418,2019-09-23,1
419,2019-09-24,1
420,2019-09-25,1
421,2019-09-26,1
422,2019-09-27,1
423,2019-10-01,1
424,2019-10-02,1
425,2019-10-03,1
426,2019-10-04,1
427,2019-10-07,1
428,2019-10-08,1
429,2019-10-09,1
430,2019-10-14,1
431,2019-10-15,1
432,2019-10-16,1
433,2019-10-17,1
434,2019-10-18,1
435,2019-10-21,1
436,2019-10-22,1
437,2019-10-23,1
438,2019-10-24,1
439,2019-10-25,1
440,2019-10-28,1
441,2019-10-29,1
442,2019-10-30,1
443,2019-10-31,1
444,2019-11-01,1
445,2019-11-04,1
446,2019-11-05,1
447,2019-11-06,1
448,2019-11-07,1
449,2019-11-08,1
450,2019-11-11,1
451,2019-11-12,1
452,2019-11-13,1
453,2019-11-14,1
454,2019-11-15,1
455,2019-11-18,1
456,2019-11-19,1
457,2019-11-20,1
458,2019-11-21,1
459,2019-11-22,1
460,2019-11-25,1
461,2019-11-26,1
462,2019-11-27,1
463,2019-11-28,1
464,2019-11-29,1
465,2019-12-02,1
466,2019-12-03,1
467,2019-12-04,1
468,2019-12-05,1
469,2019-12-06,1
470,2019-12-09,1
471,2019-12-10,1
472,2019-12-11,1
473,2019-12-12,1
474,2019-12-13,1
475,2019-12-16,1
476,2019-12-17,1
477,2019-12-18,1
478,2019-12-19,1
479,2019-12-20,1
480,2019-12-23,1
481,2019-12-24,1
482,2019-12-25,1
483,2019-12-26,1
484,2019-12-27,1
485,2019-12-30,1
486,2019-12-31,1
487,2020-01-02,1
488,2020-01-03,1
489,2020-01-06,1
490,2020-01-07,1
491,2020-01-08,1
492,2020-01-09,1
493,2020-01-10,1
494,2020-01-13,1
495,2020-01-14,1
496,2020-01-15,1
497,2020-01-16,1
498,2020-01-17,1
499,2020-01-20,1
500,2020-01-30,1
501,2020-01-31,1
502,2020-02-03,1
503,2020-02-04,1
504,2020-02-05,1
505,2020-02-06,1
506,2020-02-07,1
507,2020-02-10,1
508,2020-02-11,1
509,2020-02-12,1
510,2020-02-13,1
511,2020-02-14,1
512,2020-02-17,1
513,2020-02-18,1
514,2020-02-19,1
515,2020-02-20,1
516,2020-02-21,1
517,2020-02-24,1
518,2020-02-25,1
519,2020-02-26,1
520,2020-02-27,1
521,2020-03-02,1
522,2020-03-03,1
523,2020-03-04,1
524,2020-03-05,1
525,2020-03-06,1
526,2020-03-09,0
527,2020-03-10,0
528,2020-03-11,0
529,2020-03-12,0
530,2020-03-13,0
531,2020-03-16,0
532,2020-03-17,0
533,2020-03-18,0
534,2020-03-19,0
535,2020-03-20,1
536,2020-03-23,1
537,2020-03-24,1
538,2020-03-25,1
539,2020-03-26,1
540,2020-03-27,1
541,2020-03-30,1
542,2020-03-31,1
543,2020-04-01,1
544,2020-04-06,1
545,2020-04-07,1
546,2020-04-08,1
547,2020-04-09,1
548,2020-04-10,1
549,2020-04-13,1
550,2020-04-14,1
551,2020-04-15,1
552,2020-04-16,1
553,2020-04-17,1
554,2020-04-20,1
555,2020-04-21,1
556,2020-04-22,1
557,2020-04-23,1
558,2020-04-24,1
559,2020-04-27,1
560,2020-04-28,1
561,2020-04-29,0
562,2020-04-30,0
563,2020-05-04,0
564,2020-05-05,0
565,2020-05-06,0
566,2020-05-07,0
567,2020-05-08,0
568,2020-05-11,0
569,2020-05-12,0
570,2020-05-13,0
571,2020-05-14,0
572,2020-05-15,0
573,2020-05-18,0
574,2020-05-19,0
575,2020-05-20,0
576,2020-05-21,0
577,2020-05-22,0
578,2020-05-25,0
579,2020-05-26,0
580,2020-05-27,0
581,2020-05-28,0
582,2020-05-29,0
583,2020-06-01,0
584,2020-06-02,1
585,2020-06-03,1
586,2020-06-04,1
587,2020-06-05,1
588,2020-06-08,1
589,2020-06-09,1
590,2020-06-10,1
591,2020-06-11,1
592,2020-06-12,1
593,2020-06-15,1
594,2020-06-16,1
595,2020-06-17,1
596,2020-06-18,1
597,2020-06-19,1
598,2020-06-22,1
599,2020-06-23,1
600,2020-06-24,1
601,2020-06-29,1
602,2020-06-30,1
603,2020-07-01,1
604,2020-07-02,1
605,2020-07-03,1
606,2020-07-06,1
607,2020-07-07,1
608,2020-07-08,1
609,2020-07-09,1
610,2020-07-10,1
611,2020-07-13,1
612,2020-07-14,1
613,2020-07-15,1
614,2020-07-16,1
615,2020-07-17,1
616,2020-07-20,1
617,2020-07-21,1
618,2020-07-22,1
619,2020-07-23,1
620,2020-07-24,1
621,2020-07-27,1
622,2020-07-28,1
623,2020-07-29,1
624,2020-07-30,1
625,2020-07-31,1
626,2020-08-03,1
627,2020-08-04,1
628,2020-08-05,1
629,2020-08-06,1
630,2020-08-07,1
631,2020-08-10,1
632,2020-08-11,1
633,2020-08-12,1
634,2020-08-13,1
635,2020-08-14,1
636,2020-08-17,1
637,2020-08-18,1
638,2020-08-19,1
639,2020-08-20,1
640,2020-08-21,1
641,2020-08-24,1
642,2020-08-25,1
643,2020-08-26,1
644,2020-08-27,1
645,2020-08-28,1
646,2020-08-31,1
647,2020-09-01,1
648,2020-09-02,1
649,2020-09-03,1
650,2020-09-04,1
651,2020-09-07,1
652,2020-09-08,1
653,2020-09-09,1
654,2020-09-10,1
655,2020-09-11,1
656,2020-09-14,1
657,2020-09-15,1
658,2020-09-16,1
659,2020-09-17,1
660,2020-09-18,1
661,2020-09-21,1
662,2020-09-22,1
663,2020-09-23,1
664,2020-09-24,1
665,2020-09-25,1
666,2020-09-28,1
667,2020-09-29,1
668,2020-09-30,1
669,2020-10-05,1
670,2020-10-06,1
671,2020-10-07,1
672,2020-10-08,1
673,2020-10-12,1
674,2020-10-13,1
675,2020-10-14,1
676,2020-10-15,1
677,2020-10-16,1
678,2020-10-19,1
679,2020-10-20,1
680,2020-10-21,1
681,2020-10-22,1
682,2020-10-23,1
683,2020-10-26,1
684,2020-10-27,1
685,2020-10-28,1
686,2020-10-29,1
687,2020-10-30,1
688,2020-11-02,1
689,2020-11-03,1
690,2020-11-04,1
691,2020-11-05,1
692,2020-11-06,1
693,2020-11-09,1
694,2020-11-10,1
695,2020-11-11,1
696,2020-11-12,1
697,2020-11-13,1
698,2020-11-16,1
699,2020-11-17,1
700,2020-11-18,1
701,2020-11-19,1
702,2020-11-20,1
703,2020-11-23,1
704,2020-11-24,1
705,2020-11-25,1
706,2020-11-26,1
707,2020-11-27,1
708,2020-11-30,1
709,2020-12-01,1
710,2020-12-02,1
711,2020-12-03,1
712,2020-12-04,1
713,2020-12-07,1
714,2020-12-08,1
715,2020-12-09,1
716,2020-12-10,1
717,2020-12-11,1
718,2020-12-14,1
719,2020-12-15,1
720,2020-12-16,1
721,2020-12-17,1
722,2020-12-18,1
723,2020-12-21,1
724,2020-12-22,1
725,2020-12-23,1
726,2020-12-24,1
727,2020-12-25,1
728,2020-12-28,1
729,2020-12-29,1
730,2020-12-30,1
731,2020-12-31,1
732,2021-01-04,1
733,2021-01-05,1
734,2021-01-06,1
735,2021-01-07,1
736,2021-01-08,1
737,2021-01-11,1
738,2021-01-12,1
739,2021-01-13,1
740,2021-01-14,1
741,2021-01-15,1
742,2021-01-18,1
743,2021-01-19,1
744,2021-01-20,1
745,2021-01-21,1
746,2021-01-22,1
747,2021-01-25,1
748,2021-01-26,0
749,2021-01-27,0
750,2021-01-28,0
751,2021-01-29,0
752,2021-02-01,0
753,2021-02-02,0
754,2021-02-03,0
755,2021-02-04,0
756,2021-02-05,0
757,2021-02-17,0
758,2021-02-18,0
759,2021-02-19,0
760,2021-02-22,0
761,2021-02-23,0
762,2021-02-24,0
763,2021-02-25,0
764,2021-02-26,0
765,2021-03-02,0
766,2021-03-03,0
767,2021-03-04,0
768,2021-03-05,0
769,2021-03-08,0
770,2021-03-09,0
771,2021-03-10,0
772,2021-03-11,0
773,2021-03-12,0
774,2021-03-15,0
775,2021-03-16,0
776,2021-03-17,0
777,2021-03-18,0
778,2021-03-19,0
779,2021-03-22,0
780,2021-03-23,0
781,2021-03-24,0
782,2021-03-25,0
783,2021-03-26,0
784,2021-03-29,0
785,2021-03-30,0
786,2021-03-31,0
787,2021-04-01,0
788,2021-04-07,0
789,2021-04-08,0
790,2021-04-09,0
791,2021-04-12,0
792,2021-04-13,0
793,2021-04-14,0
794,2021-04-15,0
795,2021-04-16,0
796,2021-04-19,0
797,2021-04-20,0
798,2021-04-21,0
799,2021-04-22,1
800,2021-04-23,1
801,2021-04-26,1
802,2021-04-27,1
803,2021-04-28,1
804,2021-04-29,1
805,2021-05-03,1
806,2021-05-04,0
807,2021-05-05,0
808,2021-05-06,0
809,2021-05-07,0
810,2021-05-10,0
811,2021-05-11,0
812,2021-05-12,0
813,2021-05-13,0
814,2021-05-14,0
815,2021-05-17,0
816,2021-05-18,1
817,2021-05-19,1
818,2021-05-20,1
819,2021-05-21,1
820,2021-05-24,1
821,2021-05-25,1
822,2021-05-26,1
823,2021-05-27,1
824,2021-05-28,1
825,2021-05-31,1
826,2021-06-01,1
827,2021-06-02,1
828,2021-06-03,1
829,2021-06-04,1
830,2021-06-07,1
831,2021-06-08,1
832,2021-06-09,1
833,2021-06-10,1
834,2021-06-11,1
835,2021-06-15,1
836,2021-06-16,1
837,2021-06-17,1
838,2021-06-18,1
839,2021-06-21,1
840,2021-06-22,1
841,2021-06-23,1
842,2021-06-24,0
843,2021-06-25,0
844,2021-06-28,0
845,2021-06-29,0
846,2021-06-30,0
847,2021-07-01,0
848,2021-07-02,0
849,2021-07-05,0
850,2021-07-06,0
851,2021-07-07,0
852,2021-07-08,0
853,2021-07-09,0
854,2021-07-12,0
855,2021-07-13,0
856,2021-07-14,0
857,2021-07-15,0
858,2021-07-16,0
859,2021-07-19,0
860,2021-07-20,0
861,2021-07-21,0
862,2021-07-22,1
863,2021-07-23,1
864,2021-07-26,1
865,2021-07-27,1
866,2021-07-28,1
867,2021-07-29,1
868,2021-07-30,1
869,2021-08-02,1
870,2021-08-03,1
871,2021-08-04,1
872,2021-08-05,1
873,2021-08-06,1
874,2021-08-09,1
875,2021-08-10,1
876,2021-08-11,1
877,2021-08-12,1
878,2021-08-13,1
879,2021-08-16,1
880,2021-08-17,1
881,2021-08-18,1
882,2021-08-19,1
883,2021-08-20,1
884,2021-08-23,1
885,2021-08-24,1
886,2021-08-25,1
887,2021-08-26,1
888,2021-08-27,1
889,2021-08-30,1
890,2021-08-31,1
891,2021-09-01,1
892,2021-09-02,1
893,2021-09-03,1
894,2021-09-06,1
