<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.30	09:15:00	44840.25	44842.25	44835.25	44842.25	59	0	150
2025.01.30	09:20:00	44842.25	44852.25	44839.25	44851.25	75	0	150
2025.01.30	09:25:00	44852.25	44864.25	44845.25	44864.25	88	0	150
2025.01.30	09:30:00	44864.25	44880.25	44862.25	44880.25	72	0	150
2025.01.30	09:35:00	44880.25	44883.25	44878.25	44882.25	76	0	150
2025.01.30	09:40:00	44882.25	44888.25	44880.25	44885.25	70	0	150
2025.01.30	09:45:00	44885.25	44886.25	44876.25	44879.25	64	0	150
2025.01.30	09:50:00	44879.25	44888.25	44877.25	44887.25	65	0	150
2025.01.30	09:55:00	44887.25	44895.25	44887.25	44892.25	93	0	150
2025.01.30	10:00:00	44891.25	44910.75	44888.25	44908.25	309	0	150
2025.01.30	10:05:00	44909.25	44912.25	44903.25	44906.75	288	0	150
2025.01.30	10:10:00	44906.25	44912.25	44899.75	44904.25	205	0	150
2025.01.30	10:15:00	44904.75	44910.25	44901.25	44907.75	191	0	150
2025.01.30	10:20:00	44907.25	44924.75	44903.25	44923.75	230	0	150
2025.01.30	10:25:00	44924.25	44926.75	44917.25	44926.25	145	0	150
2025.01.30	10:30:00	44926.75	44927.75	44913.75	44923.25	156	0	150
2025.01.30	10:35:00	44922.25	44929.25	44920.25	44927.25	128	0	150
2025.01.30	10:40:00	44928.25	44930.25	44920.25	44920.25	106	0	150
2025.01.30	10:45:00	44919.25	44927.25	44917.75	44925.75	120	0	150
2025.01.30	10:50:00	44926.25	44931.75	44924.25	44928.25	128	0	150
2025.01.30	10:55:00	44927.25	44936.75	44926.25	44933.25	115	0	150
2025.01.30	11:00:00	44932.25	44932.25	44912.25	44917.25	310	0	150
2025.01.30	11:05:00	44918.25	44927.25	44914.25	44927.25	237	0	150
2025.01.30	11:10:00	44927.75	44937.75	44920.25	44934.75	292	0	150
2025.01.30	11:15:00	44934.25	44944.25	44932.75	44944.25	220	0	150
2025.01.30	11:20:00	44944.75	44948.25	44932.85	44939.25	269	0	150
2025.01.30	11:25:00	44938.75	44945.75	44933.75	44941.25	195	0	150
2025.01.30	11:30:00	44941.75	44943.25	44924.25	44927.25	205	0	150
2025.01.30	11:35:00	44926.75	44931.25	44922.25	44927.25	150	0	150
2025.01.30	11:40:00	44927.75	44931.25	44917.25	44920.25	153	0	150
2025.01.30	11:45:00	44921.25	44927.25	44916.25	44925.25	147	0	150
2025.01.30	11:50:00	44925.75	44927.25	44918.25	44922.25	168	0	150
2025.01.30	11:55:00	44922.75	44932.75	44921.25	44929.25	174	0	150
2025.01.30	12:00:00	44928.25	44934.25	44922.25	44928.25	152	0	150
2025.01.30	12:05:00	44927.25	44946.75	44927.25	44942.25	183	0	150
2025.01.30	12:10:00	44941.75	44953.25	44941.25	44948.25	150	0	150
2025.01.30	12:15:00	44948.75	44954.25	44942.25	44948.25	183	0	150
2025.01.30	12:20:00	44950.25	44950.75	44938.25	44940.25	178	0	150
2025.01.30	12:25:00	44939.75	44947.25	44937.25	44942.25	135	0	150
2025.01.30	12:30:00	44943.25	44955.25	44942.25	44953.25	131	0	150
2025.01.30	12:35:00	44954.25	44958.25	44947.75	44956.25	118	0	150
2025.01.30	12:40:00	44957.25	44958.25	44945.25	44945.25	111	0	150
2025.01.30	12:45:00	44945.75	44954.25	44943.75	44950.25	92	0	150
2025.01.30	12:50:00	44949.75	44949.75	44940.25	44943.25	129	0	150
2025.01.30	12:55:00	44942.75	44943.25	44930.25	44930.25	140	0	150
2025.01.30	13:00:00	44929.75	44934.75	44923.25	44923.25	185	0	150
2025.01.30	13:05:00	44922.75	44942.25	44919.25	44942.25	225	0	150
2025.01.30	13:10:00	44942.75	44949.25	44941.25	44948.25	218	0	150
2025.01.30	13:15:00	44945.75	44951.75	44938.75	44950.25	140	0	150
2025.01.30	13:20:00	44949.25	44960.25	44947.25	44959.75	146	0	150
2025.01.30	13:25:00	44959.25	44959.75	44951.25	44955.75	147	0	150
2025.01.30	13:30:00	44956.25	44957.25	44813.25	44820.25	529	0	150
2025.01.30	13:35:00	44819.25	44858.25	44817.25	44857.25	280	0	150
2025.01.30	13:40:00	44855.25	44870.75	44849.25	44854.25	161	0	150
2025.01.30	13:45:00	44853.75	44869.25	44837.75	44852.25	322	0	150
2025.01.30	13:50:00	44851.75	44853.25	44830.25	44833.25	187	0	150
2025.01.30	13:55:00	44832.75	44847.25	44831.25	44838.25	187	0	150
2025.01.30	14:00:00	44838.75	44846.25	44715.25	44746.25	617	0	150
2025.01.30	14:05:00	44744.25	44756.75	44725.25	44739.25	452	0	150
2025.01.30	14:10:00	44739.75	44744.25	44721.75	44727.25	317	0	150
2025.01.30	14:15:00	44729.25	44729.25	44689.25	44699.25	421	0	150
2025.01.30	14:20:00	44701.25	44718.25	44694.25	44717.25	321	0	150
2025.01.30	14:25:00	44718.25	44733.75	44711.25	44715.25	235	0	150
2025.01.30	14:30:00	44716.25	44727.25	44703.25	44725.25	227	0	150
2025.01.30	14:35:00	44724.25	44749.75	44713.75	44749.25	278	0	150
2025.01.30	14:40:00	44750.25	44756.25	44730.25	44730.75	229	0	150
2025.01.30	14:45:00	44731.25	44734.25	44711.25	44714.25	207	0	150
2025.01.30	14:50:00	44713.75	44732.25	44711.25	44719.25	159	0	150
2025.01.30	14:55:00	44719.75	44721.25	44702.25	44710.25	199	0	150
2025.01.30	15:00:00	44707.25	44712.75	44685.75	44707.25	330	0	150
2025.01.30	15:05:00	44706.25	44714.75	44669.75	44678.25	240	0	150
2025.01.30	15:10:00	44677.25	44705.75	44677.25	44703.75	160	0	150
2025.01.30	15:15:00	44705.75	44709.25	44692.25	44692.25	242	0	150
2025.01.30	15:20:00	44693.25	44704.25	44682.25	44682.25	264	0	150
2025.01.30	15:25:00	44685.25	44698.85	44674.25	44697.75	267	0	150
2025.01.30	15:30:00	44695.75	44727.25	44663.75	44716.25	552	0	150
2025.01.30	15:35:00	44717.25	44717.25	44680.25	44690.25	440	0	150
2025.01.30	15:40:00	44689.25	44689.25	44661.25	44661.25	354	0	150
2025.01.30	15:45:00	44664.25	44677.25	44654.25	44676.25	353	0	150
2025.01.30	15:50:00	44677.25	44695.75	44671.25	44684.25	416	0	150
2025.01.30	15:55:00	44684.75	44727.25	44682.25	44726.25	461	0	150
2025.01.30	16:00:00	44725.25	44728.25	44695.25	44705.25	465	0	150
2025.01.30	16:05:00	44706.25	44712.25	44688.25	44696.25	344	0	150
2025.01.30	16:10:00	44697.75	44706.25	44683.25	44683.25	252	0	150
2025.01.30	16:15:00	44682.25	44689.25	44667.25	44679.25	337	0	150
2025.01.30	16:20:00	44677.25	44683.25	44656.25	44661.25	313	0	150
2025.01.30	16:25:00	44659.25	44749.25	44653.75	44686.25	557	0	150
2025.01.30	16:30:00	44688.25	44787.40	44688.25	44763.40	936	0	120
2025.01.30	16:35:00	44760.40	44835.40	44748.40	44822.40	833	0	120
2025.01.30	16:40:00	44821.40	44829.40	44776.40	44828.40	755	0	120
2025.01.30	16:45:00	44827.40	44866.40	44802.40	44863.40	703	0	120
2025.01.30	16:50:00	44866.40	44888.40	44851.40	44870.40	659	0	120
2025.01.30	16:55:00	44872.40	44915.40	44832.40	44849.85	614	0	120
2025.01.30	17:00:00	44846.85	44857.40	44762.40	44834.40	801	0	120
2025.01.30	17:05:00	44830.40	44846.40	44802.40	44816.40	736	0	120
2025.01.30	17:10:00	44814.40	44858.40	44814.40	44839.40	701	0	120
2025.01.30	17:15:00	44840.40	44841.40	44801.40	44820.40	617	0	120
2025.01.30	17:20:00	44821.40	44870.40	44817.40	44855.40	610	0	120
2025.01.30	17:25:00	44856.40	44856.40	44774.40	44787.40	554	0	120
2025.01.30	17:30:00	44788.40	44835.40	44778.40	44832.40	718	0	120
2025.01.30	17:35:00	44834.40	44916.40	44831.40	44909.40	518	0	120
2025.01.30	17:40:00	44910.40	44913.40	44885.40	44896.40	480	0	120
2025.01.30	17:45:00	44895.40	44912.40	44893.40	44903.40	458	0	120
2025.01.30	17:50:00	44902.40	44907.40	44839.40	44854.40	583	0	120
2025.01.30	17:55:00	44855.40	44855.40	44792.40	44814.40	660	0	120
2025.01.30	18:00:00	44812.40	44830.40	44778.40	44810.40	698	0	120
2025.01.30	18:05:00	44811.40	44834.40	44806.40	44809.40	581	0	120
2025.01.30	18:10:00	44807.40	44822.40	44763.40	44765.40	557	0	120
2025.01.30	18:15:00	44766.40	44783.40	44747.40	44779.40	577	0	120
2025.01.30	18:20:00	44780.40	44810.40	44777.40	44808.40	514	0	120
2025.01.30	18:25:00	44807.40	44833.40	44789.40	44833.40	498	0	120
2025.01.30	18:30:00	44830.40	44836.40	44811.40	44815.40	461	0	120
2025.01.30	18:35:00	44816.40	44859.40	44806.40	44857.40	425	0	120
2025.01.30	18:40:00	44858.40	44884.40	44857.40	44882.40	381	0	120
2025.01.30	18:45:00	44883.40	44890.40	44875.40	44881.40	286	0	120
2025.01.30	18:50:00	44882.40	44931.40	44882.40	44920.40	329	0	120
2025.01.30	18:55:00	44921.40	44941.40	44908.40	44931.40	419	0	120
2025.01.30	19:00:00	44930.40	44930.40	44893.40	44903.40	475	0	120
2025.01.30	19:05:00	44904.40	44917.40	44884.40	44903.40	420	0	120
2025.01.30	19:10:00	44904.40	44909.40	44854.40	44865.40	427	0	120
2025.01.30	19:15:00	44863.40	44865.40	44859.40	44865.40	34	0	120
