<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.30	01:00:00	44753.35	44784.85	44726.85	44783.85	565	0	150
2025.01.30	01:05:00	44783.85	44800.25	44771.25	44778.25	488	0	150
2025.01.30	01:10:00	44778.25	44795.25	44770.25	44783.25	292	0	150
2025.01.30	01:15:00	44781.25	44797.25	44760.25	44784.25	273	0	150
2025.01.30	01:20:00	44786.25	44799.25	44767.25	44770.25	283	0	150
2025.01.30	01:25:00	44771.25	44776.25	44761.25	44773.25	256	0	150
2025.01.30	01:30:00	44773.25	44785.25	44756.25	44763.25	237	0	150
2025.01.30	01:35:00	44762.25	44773.25	44760.25	44768.25	173	0	150
2025.01.30	01:40:00	44768.25	44787.25	44767.25	44772.25	175	0	150
2025.01.30	01:45:00	44772.25	44798.25	44772.25	44788.25	183	0	150
2025.01.30	01:50:00	44788.25	44796.25	44785.25	44794.25	136	0	150
2025.01.30	01:55:00	44794.25	44811.25	44788.25	44798.25	142	0	150
2025.01.30	02:00:00	44798.25	44802.25	44784.25	44798.25	205	0	150
2025.01.30	02:05:00	44798.25	44820.25	44798.25	44816.25	163	0	150
2025.01.30	02:10:00	44815.25	44826.25	44812.25	44820.25	146	0	150
2025.01.30	02:15:00	44820.25	44834.25	44820.25	44829.25	122	0	150
2025.01.30	02:20:00	44829.25	44835.25	44827.25	44831.25	102	0	150
2025.01.30	02:25:00	44831.25	44838.25	44826.25	44836.25	81	0	150
2025.01.30	02:30:00	44836.25	44843.25	44835.25	44839.25	101	0	150
2025.01.30	02:35:00	44840.25	44843.25	44835.25	44839.25	42	0	150
2025.01.30	02:40:00	44839.25	44854.25	44838.25	44846.25	96	0	150
2025.01.30	02:45:00	44846.25	44859.25	44841.25	44851.25	111	0	150
2025.01.30	02:50:00	44851.25	44853.25	44846.25	44850.25	102	0	150
2025.01.30	02:55:00	44850.25	44859.25	44846.25	44858.25	63	0	150
2025.01.30	03:00:00	44856.25	44857.25	44837.25	44837.25	99	0	150
2025.01.30	03:05:00	44838.25	44848.25	44835.25	44840.25	75	0	150
2025.01.30	03:10:00	44840.25	44858.25	44838.25	44857.25	103	0	150
2025.01.30	03:15:00	44857.25	44867.25	44856.25	44857.25	141	0	150
2025.01.30	03:20:00	44857.25	44859.25	44850.25	44857.25	77	0	150
2025.01.30	03:25:00	44857.25	44859.25	44850.25	44856.25	98	0	150
2025.01.30	03:30:00	44854.25	44874.25	44852.25	44872.25	100	0	150
2025.01.30	03:35:00	44872.25	44882.25	44872.25	44878.25	109	0	150
2025.01.30	03:40:00	44878.25	44887.25	44873.25	44875.25	100	0	150
2025.01.30	03:45:00	44875.25	44881.25	44870.25	44870.25	105	0	150
2025.01.30	03:50:00	44871.25	44874.25	44867.25	44873.25	77	0	150
2025.01.30	03:55:00	44872.25	44873.25	44862.25	44864.25	79	0	150
2025.01.30	04:00:00	44864.25	44875.25	44864.25	44870.25	74	0	150
2025.01.30	04:05:00	44871.25	44877.25	44870.25	44876.25	43	0	150
2025.01.30	04:10:00	44876.25	44880.25	44873.25	44878.25	50	0	150
2025.01.30	04:15:00	44879.25	44883.25	44872.25	44879.25	76	0	150
2025.01.30	04:20:00	44881.25	44888.25	44880.25	44886.25	93	0	150
2025.01.30	04:25:00	44886.25	44886.25	44876.25	44882.25	71	0	150
2025.01.30	04:30:00	44883.25	44883.25	44877.25	44879.25	59	0	150
2025.01.30	04:35:00	44879.25	44881.25	44868.25	44869.25	63	0	150
2025.01.30	04:40:00	44869.25	44869.25	44861.25	44864.25	58	0	150
2025.01.30	04:45:00	44862.25	44863.25	44858.25	44859.25	54	0	150
2025.01.30	04:50:00	44859.25	44860.25	44855.25	44859.25	43	0	150
2025.01.30	04:55:00	44859.25	44865.25	44856.25	44856.25	51	0	150
2025.01.30	05:00:00	44858.25	44864.25	44858.25	44859.25	64	0	150
2025.01.30	05:05:00	44857.25	44870.25	44857.25	44869.25	46	0	150
2025.01.30	05:10:00	44869.25	44869.25	44864.25	44867.25	45	0	150
2025.01.30	05:15:00	44867.25	44869.25	44862.25	44866.25	38	0	150
2025.01.30	05:20:00	44867.25	44868.25	44862.25	44863.25	34	0	150
2025.01.30	05:25:00	44864.25	44866.25	44861.25	44862.25	39	0	150
2025.01.30	05:30:00	44863.25	44866.25	44859.25	44859.25	34	0	150
2025.01.30	05:35:00	44859.25	44859.25	44854.25	44854.25	45	0	150
2025.01.30	05:40:00	44855.25	44855.25	44848.25	44853.25	38	0	150
2025.01.30	05:45:00	44854.25	44855.25	44849.25	44850.25	41	0	150
2025.01.30	05:50:00	44854.25	44862.25	44852.25	44862.25	50	0	150
2025.01.30	05:55:00	44861.25	44876.25	44860.25	44874.25	73	0	150
2025.01.30	06:00:00	44874.25	44882.25	44870.25	44872.25	65	0	150
2025.01.30	06:05:00	44871.25	44876.25	44871.25	44873.25	35	0	150
2025.01.30	06:10:00	44874.25	44874.25	44868.25	44872.25	41	0	150
2025.01.30	06:15:00	44873.25	44873.25	44869.25	44873.25	42	0	150
2025.01.30	06:20:00	44872.25	44876.25	44872.25	44874.25	41	0	150
2025.01.30	06:25:00	44873.25	44874.25	44870.25	44871.25	21	0	150
2025.01.30	06:30:00	44871.25	44871.25	44858.25	44859.25	47	0	150
2025.01.30	06:35:00	44858.25	44862.25	44857.25	44860.25	40	0	150
2025.01.30	06:40:00	44859.25	44859.25	44850.25	44856.25	65	0	150
2025.01.30	06:45:00	44857.25	44858.25	44855.25	44856.25	46	0	150
2025.01.30	06:50:00	44856.25	44857.25	44851.25	44853.25	38	0	150
2025.01.30	06:55:00	44854.25	44856.25	44847.25	44848.25	46	0	150
2025.01.30	07:00:00	44848.25	44849.25	44839.25	44840.25	56	0	150
2025.01.30	07:05:00	44840.25	44840.25	44831.25	44834.25	63	0	150
2025.01.30	07:10:00	44834.25	44842.25	44833.25	44842.25	47	0	150
2025.01.30	07:15:00	44842.25	44847.25	44839.25	44845.25	55	0	150
2025.01.30	07:20:00	44844.25	44845.25	44840.25	44843.25	53	0	150
2025.01.30	07:25:00	44843.25	44852.25	44843.25	44850.25	43	0	150
2025.01.30	07:30:00	44850.25	44850.25	44840.25	44844.25	57	0	150
2025.01.30	07:35:00	44845.25	44852.25	44842.25	44851.25	64	0	150
2025.01.30	07:40:00	44852.25	44856.25	44851.25	44856.25	39	0	150
2025.01.30	07:45:00	44856.25	44857.25	44850.25	44853.25	48	0	150
2025.01.30	07:50:00	44853.25	44856.25	44850.25	44852.25	33	0	150
2025.01.30	07:55:00	44851.25	44851.25	44841.25	44850.25	50	0	150
2025.01.30	08:00:00	44850.25	44861.25	44850.25	44855.25	55	0	150
2025.01.30	08:05:00	44855.25	44858.25	44843.25	44844.25	41	0	150
2025.01.30	08:10:00	44844.25	44848.25	44844.25	44848.25	48	0	150
2025.01.30	08:15:00	44848.25	44850.25	44844.25	44850.25	38	0	150
2025.01.30	08:20:00	44850.25	44851.25	44844.25	44846.25	47	0	150
2025.01.30	08:25:00	44846.25	44846.25	44838.25	44842.25	87	0	150
2025.01.30	08:30:00	44844.25	44844.25	44831.25	44838.25	63	0	150
2025.01.30	08:35:00	44839.25	44848.25	44837.25	44848.25	58	0	150
2025.01.30	08:40:00	44849.25	44850.25	44835.25	44844.25	56	0	150
2025.01.30	08:45:00	44844.25	44845.25	44840.25	44843.25	56	0	150
2025.01.30	08:50:00	44843.25	44853.25	44843.25	44849.25	47	0	150
2025.01.30	08:55:00	44848.25	44853.25	44847.25	44852.25	43	0	150
2025.01.30	09:00:00	44851.25	44851.25	44835.25	44839.25	124	0	150
2025.01.30	09:05:00	44840.25	44844.25	44836.25	44840.25	96	0	150
2025.01.30	09:10:00	44839.25	44845.25	44837.25	44840.25	66	0	150
